CRIMINAL CODE OFFENCES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Homicide (1,2,14)",1.6,1.6,1.9,2.0,1.8,2.4,1.8,1.8,1.9,2.4
Attempted murder (14),1.9,1.9,2.0,2.7,2.4,2.3,1.8,2.0,1.9,1.3
"Sexual assault, level 3 (aggravated)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sexual assault, level 2 (weapon or bodily harm)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sexual assault, level 1",0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.8,0.7,0.9
Sexual violations against children (3),0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3
"Sexual offences which occurred prior to January 4, 1983 (4)",-,-,-,-,-,-,-,0.0,0.0,0.0
Offences in relation to sexual services (5),-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Assault, level 3 (aggravated)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Assault, level 2 (weapon or bodily harm)",1.7,1.5,1.4,1.4,1.4,1.4,1.5,1.8,2.0,2.0
"Assault, level 1",5.6,5.0,4.6,4.7,4.3,4.2,4.5,5.8,5.4,5.3
Assaults against a peace officer (6),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Other assaults ,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0
Firearms,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Robbery,1.0,0.8,0.7,0.8,0.6,0.5,0.5,0.6,0.5,0.5
Forcible confinement/kidnapping,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Abduction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extortion,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3
Criminal harassment,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4
Uttering threats ,2.7,2.3,2.1,2.2,2.0,1.8,1.9,3.2,3.3,3.2
Indecent or harassing communications,1.0,0.9,0.7,1.0,1.1,1.1,1.3,1.8,1.9,1.8
Other violent offences (7),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1
Total violent offences,14.0,12.4,11.3,11.9,11.2,10.9,11.8,15.7,15.6,15.5
Total breaking and entering,6.6,6.1,6.4,6.3,6.1,5.4,5.2,5.7,4.9,4.2
Total possession of stolen property,0.6,0.6,0.6,0.7,0.7,0.7,0.7,1.0,0.8,0.7
Total trafficking in stolen property (8),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total theft of motor vehicle (9),2.8,2.5,3.2,3.1,2.9,2.9,2.5,2.6,2.1,2.0
"Total theft over $5,000 (non-motor vehicle)",0.5,0.5,0.5,0.6,0.6,0.7,0.9,1.0,1.0,1.0
"Total theft under $5,000 (non-motor vehicle)",23.1,22.3,24.0,24.5,25.2,23.8,24.2,26.2,19.4,17.9
Fraud,2.6,2.6,2.8,3.3,3.6,3.6,4.0,4.4,4.1,3.9
Identity theft/fraud,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1.0,0.8
Total mischief,10.6,9.6,9.6,9.4,8.9,9.0,9.0,10.8,11.0,11.1
Arson,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
"Altering, removing or destroying vehicle identification number (10)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total property offences,47.7,45.1,48.1,48.7,48.9,47.1,47.7,52.9,44.7,42.2
Counterfeiting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total weapons violations,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.9,0.9,0.9
Child pornography (11),0.0,0.1,0.3,0.3,0.6,0.4,0.4,0.6,0.9,0.9
"Other offences in relation to sexual services (5,12)",0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disturb the peace,10.7,10.0,9.3,9.6,8.8,8.3,8.4,9.9,9.7,9.7
Total administration of justice violations,3.7,3.5,3.6,4.0,4.2,4.0,3.9,4.6,4.6,4.2
Total other violations (13),1.7,1.5,1.5,1.5,1.4,1.2,1.3,1.7,1.5,1.4
Total other Criminal Code offences,17.0,16.0,15.3,16.1,15.6,14.6,14.7,17.7,17.6,17.2
TOTAL CRIMINAL CODE OFFENCES (excluding traffic),78.6,73.5,74.7,76.7,75.7,72.6,74.2,86.3,77.8,74.9
