CRIMINAL CODE OFFENCES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Homicide (1,2)",71,76,89,97,88,119,90,90,100,125
Attempted murder,88,90,92,129,119,115,88,101,99,70
"Sexual assault, level 3 (aggravated)",9,21,15,19,19,28,8,10,18,9
"Sexual assault, level 2 (weapon or bodily harm)",41,55,49,40,35,31,64,54,50,56
"Sexual assault, level 1","2,492","2,361","2,212","2,230","2,258","2,686","3,213","4,088","3,822","4,459"
Sexual violations against children (3),683,656,683,655,824,986,"1,134","1,473","1,427","1,541"
"Sexual offences which occurred prior to January 4, 1983 (4)",-,-,-,-,-,-,-,66,57,50
Offences in relation to sexual services (5),-,-,-,73,71,64,107,152,121,77
"Assault, level 3 (aggravated)",388,364,346,331,324,360,334,342,342,359
"Assault, level 2 (weapon or bodily harm)","7,845","7,053","6,639","6,904","6,798","6,847","7,333","8,966","10,074","10,501"
"Assault, level 1","25,447","22,932","21,516","22,294","20,955","20,634","22,528","29,375","28,035","27,680"
Assaults against a peace officer (6),"1,343","1,176","1,247","1,305","1,254","1,280","1,440","1,560","1,601","1,728"
Other assaults ,232,293,245,302,243,201,180,311,277,229
Firearms,243,213,205,302,265,258,201,369,392,369
Robbery,4523,3581,3392,3645,2968,2487,2482,2866,2707,2740
Forcible confinement/kidnapping,297,309,312,367,338,372,349,392,442,398
Abduction,56,67,32,57,53,50,61,65,44,44
Extortion,300,308,370,496,539,564,"1,060","1,052","1,320","1,528"
Criminal harassment,"2,617","2,530","2,098","1,991","1,651","1,635","1,619","2,272","2,184","2,209"
Uttering threats ,"12,321","10,630","9,782","10,282","9,497","8,660","9,703","16,391","16,806","16,686"
Indecent or harassing communications,"4,462","4,107","3,472","4,901","5,448","5,651","6,447","9,022","9,583","9,306"
Other violent offences (7),446,409,407,503,499,512,591,796,797,778
