Number of Drug Offences (CDSA and Cannabis Act),,,,,,,,,,,
REGION,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Alberni Clayoquot,196,179,181,119,149,177,138,113,80,80,
Bulkley Nechako,303,282,176,191,193,171,221,205,286,251,
Capital,"1,641","1,523","1,486","1,333",935,891,694,504,535,432,
Cariboo,622,664,599,480,494,429,518,344,418,276,
Central Coast,23,20,20,16,10,10,15,16,8,7,
Central Kootenay,737,713,490,517,526,330,283,198,155,116,
Central Okanagan,"1,151","1,544","1,579","1,368","1,366","1,441","1,351",906,"1,197",741,
Columbia Shuswap,563,637,528,362,283,176,200,110,126,132,
Comox Valley,371,351,253,220,201,219,175,217,190,159,
Cowichan Valley,597,574,509,525,518,528,532,843,826,580,
East Kootenay,384,316,327,281,247,194,155,112,93,100,
Fraser Fort George,681,735,878,905,859,865,901,"1,184",832,568,
Fraser Valley,"1,646","1,510","1,127",995,"1,027",971,945,"1,274","1,347","1,106",
Kitimat Stikine,338,365,337,239,239,196,169,180,109,115,
Kootenay Boundary,195,205,204,185,262,141,107,93,118,133,
Metro Vancouver,"10,684","11,413","10,703","10,241","9,709","9,109","9,369","9,791","10,846","10,378",
Mount Waddington,87,110,117,77,54,29,36,44,39,30,
Nanaimo,960,838,839,724,732,685,551,738,550,522,
North Coast (1),164,235,186,203,138,107,150,128,89,68,
North Okanagan,500,438,479,346,409,331,401,548,544,414,
Northern Rockies,107,68,50,69,46,41,35,16,23,13,
Okanagan Similkameen,576,531,556,398,484,408,407,383,348,197,
Peace River,357,417,358,300,311,305,205,271,257,181,
qathet (2),114,135,122,82,108,98,109,159,90,96,
Squamish Lillooet,473,529,527,545,547,450,340,220,174,97,
Strathcona,364,443,262,193,231,218,207,385,340,291,
Sunshine Coast,126,137,110,90,102,108,70,12,23,38,
Thompson Nicola,"1,489","1,433","1,311","1,117","1,564","1,305",950,808,"1,002",743,
BRITISH COLUMBIA (3),"25,455","26,354","24,321","22,132","21,759","19,933","19,244","19,810","20,646","17,880",
,,,,,,,,,,,
Footnote:,,,,,,,,,,,
"Drug offences are crimes committed under the Controlled Drugs and Substances Act (CDSA) and the Cannabis Act. CDSA drug offences include possession, trafficking, production, and distribution of cannabis, cocaine, heroin, non-heroin opioids (including fentanyl), and methamphetamines (crystal meth), and other drug offences. When the Cannabis Act came into force on October 17, 2018, all prior cannabis-related legislation under the CDSA was replaced with the Cannabis Act, and cannabis possession became legal, except under certain circumstances. Drug offences are not included in the Total Criminal Code offences.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Source: ,,,,,,,,,,,
"Statistics Canada. Table 35-10-0184-01 Incident-based crime statistics, by detailed violations, police services in British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,
"(accessed August 2, 2022)",,,,,,,,,,,
