Regional Districts,,,,,,
REGION,POLICING JURISDICTION,TYPE OF POLICING,,,,
Alberni Clayoquot,Port Alberni Mun,RCMP Municipal,,,,
Alberni Clayoquot,Port Alberni Prov,RCMP Provincial,,,,
Alberni Clayoquot,Tofino Prov,RCMP Provincial,,,,
Alberni Clayoquot,Ucluelet Prov,RCMP Provincial,,,,
Bulkley Nechako,Burns Lake Prov,RCMP Provincial,,,,
Bulkley Nechako,Fort St James Prov,RCMP Provincial,,,,
Bulkley Nechako,Fraser Lake Prov,RCMP Provincial,,,,
Bulkley Nechako,Houston/Granisle Prov (4),RCMP Provincial,,,,
Bulkley Nechako,Smithers Mun,RCMP Municipal,,,,
Bulkley Nechako,Smithers Prov,RCMP Provincial,,,,
Bulkley Nechako,Takla Landing Prov,RCMP Provincial,,,,
Bulkley Nechako,Vanderhoof Prov,RCMP Provincial,,,,
Capital,Central Saanich Mun,Independent Municipal ,,,,
Capital,Colwood Mun,RCMP Municipal,,,,
Capital,Langford Mun,RCMP Municipal,,,,
Capital,North Saanich Mun,RCMP Municipal,,,,
Capital,Oak Bay Mun,Independent Municipal ,,,,
Capital,Outer Gulf Islands Prov,RCMP Provincial,,,,
Capital,Saanich Mun,Independent Municipal ,,,,
Capital,Saltspring Island Prov,RCMP Provincial,,,,
Capital,Sidney Mun,RCMP Municipal,,,,
Capital,Sidney Prov,RCMP Provincial,,,,
Capital,Sooke Mun,RCMP Municipal,,,,
Capital,Sooke Prov,RCMP Provincial,,,,
Capital,Victoria Mun (5),Independent Municipal ,,,,
Capital,View Royal Mun,RCMP Municipal,,,,
Capital,West Shore Prov,RCMP Provincial,,,,
Cariboo,Alexis Creek Prov,RCMP Provincial,,,,
Cariboo,Anahim Lake Prov,RCMP Provincial,,,,
Cariboo,One Hundred Mile House Prov,RCMP Provincial,,,,
Cariboo,Quesnel Mun,RCMP Municipal,,,,
Cariboo,Quesnel Prov,RCMP Provincial,,,,
Cariboo,Wells Prov,RCMP Provincial,,,,
Cariboo,Williams Lake Mun,RCMP Municipal,,,,
Cariboo,Williams Lake Prov,RCMP Provincial,,,,
Central Coast,Bella Bella Prov,RCMP Provincial,,,,
Central Coast,Bella Coola Prov,RCMP Provincial,,,,
Central Kootenay,Castlegar Mun,RCMP Municipal,,,,
Central Kootenay,Castlegar Prov (6),RCMP Provincial,,,,
Central Kootenay,Creston Mun (7),RCMP Municipal,,,,
Central Kootenay,Creston Prov (7),RCMP Provincial,,,,
Central Kootenay,Kaslo Prov (6),RCMP Provincial,,,,
Central Kootenay,Nakusp Prov (6),RCMP Provincial,,,,
Central Kootenay,Nelson Mun,Independent Municipal ,,,,
Central Kootenay,Nelson Prov (6),RCMP Provincial,,,,
Central Kootenay,Salmo Prov (6),RCMP Provincial,,,,
Central Kootenay,Slocan Lake Prov (6),RCMP Provincial,,,,
Central Okanagan,Kelowna Mun,RCMP Municipal,,,,
Central Okanagan,Kelowna Prov (7),RCMP Provincial,,,,
Central Okanagan,Lake Country Mun,RCMP Municipal,,,,
Central Okanagan,Peachland Mun (7),RCMP Municipal,,,,
Central Okanagan,West Kelowna Mun,RCMP Municipal,,,,
Columbia Shuswap,Falkland Prov,RCMP Provincial,,,,
Columbia Shuswap,Golden Prov,RCMP Provincial,,,,
Columbia Shuswap,Revelstoke Mun,RCMP Municipal,,,,
Columbia Shuswap,Revelstoke Prov,RCMP Provincial,,,,
Columbia Shuswap,Salmon Arm Mun,RCMP Municipal,,,,
Columbia Shuswap,Salmon Arm Prov,RCMP Provincial,,,,
Columbia Shuswap,Sicamous Prov,RCMP Provincial,,,,
Comox Valley,Comox Mun,RCMP Municipal,,,,
Comox Valley,Comox Valley Prov,RCMP Provincial,,,,
Comox Valley,Courtenay Mun,RCMP Municipal,,,,
Cowichan Valley,Duncan Prov,RCMP Provincial,,,,
Cowichan Valley,Ladysmith Mun,RCMP Municipal,,,,
Cowichan Valley,Ladysmith Prov,RCMP Provincial,,,,
Cowichan Valley,Lake Cowichan Prov,RCMP Provincial,,,,
Cowichan Valley,North Cowichan Mun,RCMP Municipal,,,,
Cowichan Valley,Shawnigan Lake Prov,RCMP Provincial,,,,
East Kootenay,Columbia Valley Prov,RCMP Provincial,,,,
East Kootenay,Cranbrook Mun,RCMP Municipal,,,,
East Kootenay,Cranbrook Prov,RCMP Provincial,,,,
East Kootenay,Elk Valley Prov (8),RCMP Provincial,,,,
East Kootenay,Fernie Mun (9),RCMP Municipal,,,,
East Kootenay,Kimberley Mun,RCMP Municipal,,,,
East Kootenay,Kimberley Prov,RCMP Provincial,,,,
Fraser Fort George,Mackenzie Prov,RCMP Provincial,,,,
Fraser Fort George,McBride Prov,RCMP Provincial,,,,
Fraser Fort George,Prince George Mun,RCMP Municipal,,,,
Fraser Fort George,Prince George Prov,RCMP Provincial,,,,
Fraser Fort George,Tsay Keh Dene Prov,RCMP Provincial,,,,
Fraser Fort George,Valemount Prov,RCMP Provincial,,,,
Fraser Valley,Abbotsford Mun (10),Independent Municipal ,,,,
Fraser Valley,Agassiz Prov,RCMP Provincial,,,,
Fraser Valley,Boston Bar Prov,RCMP Provincial,,,,
Fraser Valley,Chilliwack Mun (10),RCMP Municipal,,,,
Fraser Valley,Chilliwack Prov,RCMP Provincial,,,,
Fraser Valley,Hope Mun,RCMP Municipal,,,,
Fraser Valley,Hope Prov,RCMP Provincial,,,,
Fraser Valley,Kent Mun,RCMP Municipal,,,,
Fraser Valley,Mission Mun,RCMP Municipal,,,,
Fraser Valley,Mission Prov,RCMP Provincial,,,,
Kitimat Stikine,Atlin Prov,RCMP Provincial,,,,
Kitimat Stikine,Dease Lake Prov,RCMP Provincial,,,,
Kitimat Stikine,Kitimat Mun,RCMP Municipal,,,,
Kitimat Stikine,Kitimat Prov,RCMP Provincial,,,,
Kitimat Stikine,Lisims/Nass Valley Prov,RCMP Provincial,,,,
Kitimat Stikine,New Hazelton Prov,RCMP Provincial,,,,
Kitimat Stikine,Stewart Prov,RCMP Provincial,,,,
Kitimat Stikine,Terrace Mun,RCMP Municipal,,,,
