REGION,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Alberni Clayoquot,"3,399","3,348","2,723","3,135","3,247","3,143","3,724","4,639","4,438","4,298",
Bulkley Nechako,"5,634","5,406","4,884","4,650","4,524","3,906","3,929","5,124","5,509","5,728",
Capital,"22,264","19,829","20,484","22,565","21,640","21,355","23,535","27,372","26,332","24,969",
Cariboo,"7,608","7,337","7,019","6,911","6,672","6,346","6,881","8,915","8,181","7,361",
Central Coast,787,493,498,331,345,361,347,464,433,449,
Central Kootenay,"3,878","3,841","3,305","3,617","3,504","3,597","3,542","3,864","3,910","4,072",
Central Okanagan,"16,329","13,785","14,087","16,033","16,627","16,395","18,419","23,247","22,423","25,361",
Columbia Shuswap,"3,316","2,889","2,366","2,772","2,619","2,470","2,694","3,377","3,370","3,352",
Comox Valley,"3,713","3,667","3,801","4,220","3,918","4,617","4,309","5,575","5,890","6,124",
Cowichan Valley,"6,211","5,979","5,763","6,717","6,737","6,513","6,821","9,444","7,844","7,463",
East Kootenay,"4,344","3,859","3,318","3,426","3,214","3,462","3,501","3,855","3,737","4,286",
Fraser Fort George,"13,454","11,717","11,637","12,115","12,329","13,322","13,106","20,805","19,977","18,719",
Fraser Valley,"22,042","21,824","23,388","26,998","27,719","26,806","28,857","31,662","27,932","27,512",
Kitimat Stikine,"5,930","5,625","5,262","5,474","5,212","4,945","5,189","6,985","5,980","5,371",
Kootenay Boundary,"2,160","1,704","1,699","1,640","1,579","1,950","2,087","2,555","2,147","2,359",
Mount Waddington,"1,385","1,308","1,273","1,344","1,236","1,064","1,135","2,014","1,752","1,831",
Nanaimo,"11,770","11,215","11,413","11,663","12,447","11,606","14,792","18,145","16,326","16,656",
North Coast (1),"4,205","3,381","3,048","3,206","2,801","2,471","2,817","3,587","3,268","2,752",
North Okanagan,"6,330","6,258","6,419","6,452","7,083","6,632","7,064","8,997","8,251","8,064",
Northern Rockies,"1,242","1,135","1,014",915,647,600,692,870,"1,085","1,039",
Okanagan Similkameen,"6,984","5,856","6,687","7,581","7,662","8,322","9,191","12,259","11,457","11,479",
Peace River,"6,759","6,153","6,571","6,593","5,463","5,136","5,124","6,965","6,243","6,300",
qathet (2),"1,441","1,257","1,216","1,120","1,149","1,058","1,286","2,051","1,559","1,697",
Squamish Lillooet,"4,926","4,457","3,891","3,930","3,799","3,842","3,407","3,845","3,785","3,641",
Strathcona,"4,101","3,767","3,919","4,162","4,376","3,816","3,986","6,074","5,936","5,978",
Sunshine Coast,"1,725","1,430","1,318","1,532","1,262","1,199","1,300","1,929","2,015","2,008",
Thompson Nicola,"12,533","12,943","12,074","12,429","14,153","14,269","13,887","16,827","16,936","17,805",
